image_name,box0_x1,box0_y1,box0_x2,box0_y2,box1_x1,box1_y1,box1_x2,box1_y2,box2_x1,box2_y1,box2_x2,box2_y2,box3_x1,box3_y1,box3_x2,box3_y2
0.jpg,,,,,,,,,647.0,453.0,825.0,552.0,515.0,431.0,623.0,544.0
1.jpg,,,,,,,,,697.0,478.0,857.0,565.0,432.0,460.0,555.0,713.0
2.jpg,,,,,790.0,619.0,962.0,719.0,730.0,406.0,912.0,521.0,591.0,375.0,718.0,496.0
3.jpg,,,,,,,,,653.0,423.0,825.0,527.0,526.0,395.0,646.0,512.0
4.jpg,,,,,,,,,610.0,432.0,784.0,542.0,439.0,387.0,601.0,520.0
5.jpg,,,,,,,,,587.0,444.0,779.0,556.0,445.0,394.0,590.0,541.0
6.jpg,,,,,,,,,616.0,444.0,801.0,565.0,457.0,394.0,614.0,545.0
7.jpg,,,,,,,,,656.0,460.0,846.0,569.0,517.0,387.0,661.0,531.0
8.jpg,,,,,,,,,649.0,453.0,837.0,556.0,510.0,384.0,656.0,523.0
9.jpg,,,,,,,,,639.0,439.0,825.0,548.0,477.0,362.0,597.0,488.0
10.jpg,,,,,,,,,649.0,437.0,830.0,531.0,519.0,394.0,636.0,519.0
11.jpg,,,,,,,,,666.0,402.0,857.0,512.0,546.0,383.0,668.0,512.0
12.jpg,,,,,,,,,645.0,417.0,822.0,523.0,513.0,384.0,632.0,512.0
13.jpg,,,,,575.0,681.0,712.0,719.0,658.0,429.0,833.0,528.0,484.0,370.0,613.0,498.0
14.jpg,,,,,486.0,631.0,647.0,719.0,664.0,456.0,833.0,556.0,482.0,387.0,615.0,524.0
15.jpg,,,,,,,,,672.0,460.0,853.0,573.0,517.0,387.0,665.0,525.0
16.jpg,,,,,,,,,647.0,428.0,826.0,536.0,510.0,378.0,628.0,503.0
17.jpg,,,,,,,,,645.0,429.0,818.0,533.0,503.0,371.0,639.0,508.0
18.jpg,,,,,651.0,681.0,818.0,719.0,631.0,355.0,818.0,453.0,510.0,311.0,630.0,432.0
